Code,Site Name,Visit Date,Visit Time,Electrical Conductivity (µS/cm),pH (pH Units),Temperature - AIR (° C),Temperature - WATER (° C),Turbidity - NTU (NTU),Days Since Last Rainfall,Water Type,Litter Pollutants,Region,Basin,Catchment,Sub Catchment,Longitude,Latitude,Northing,Easting
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",10-Mar-10,0:30:00,180,7.4,14,18,40,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",05-Aug-09,11:30:00,200,7.6,15,12,40,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",15-Apr-09,14:10:00,200,8.3,17,15,20,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",09-Feb-09,14:10:00,340,8,23,19,10,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",09-Sep-08,11:45:00,190,7.7,17,12,10,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",06-May-08,9:44:00,350,7.5,15,13,15,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",06-May-09,0:00:00,240,8.1,16,13,10,Between 1 and 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",15-Sep-10,0:30:00,200,7.8,15,13,26,Between 1 and 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",10-Jun-09,13:50:00,230,7.7,9,10,40,More than 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",06-Jun-08,9:45:00,540,7.5,11,12,40,More than 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",06-Sep-07,13:00:00,1010,7.5,17,11,20,More than 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",04-Mar-11,11:50:00,260,8.1,15,16,14,Between 1 and 7 days ago,Creek,"bottles,cans,packets,paper,plastic",Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",06-Jul-11,14:25:00,210,8.2,11,10,39,Last 24 hrs,Creek,"plastic,waxed cardboard",Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",06-Jun-11,15:30:00,190,8.2,10,11,28,Last 24 hrs,Creek,"oil,plastic,polystyrene",Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",11-Feb-11,14:55:00,170,8,20.5,23,28,Last 24 hrs,Creek,"bottles,plastic,polystyrene",Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",11-Jan-11,10:00:00,210,7.9,25.5,21,7,Last 24 hrs,Creek,"car bodies,polystyrene,other",Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",08-Apr-10,15:20:00,200,7.3,20,19,20,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",05-Feb-10,8:20:00,100,7.4,17,20.5,15,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",08-Dec-09,14:33:00,160,,15.5,19.5,30,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",07-Oct-08,14:00:00,290,8.1,15,12,10,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",07-Jul-08,9:56:00,220,8,11,10,30,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",04-Jul-07,13:45:00,210,7.4,10,9,40,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",08-Jul-10,10:00:00,200,7.4,11,11,13,Between 1 and 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",11-Apr-08,11:48:00,280,7.1,25,18,30,Between 1 and 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",08-Jan-10,14:20:00,200,7.3,35,24,15,More than 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",02-Aug-08,0:45:00,210,8.2,15,9.5,35,More than 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",05-Feb-08,15:00:00,310,7.6,28,22,20,More than 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",20-Nov-07,13:00:00,400,7.6,30,19,30,More than 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",06-Nov-08,9:15:00,190,8.1,15,15,15,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",27-Mar-08,0:00:00,80,7.9,18,15,15,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",07-Jul-09,10:30:00,220,7.9,9,10,30,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",10-Dec-08,11:57:00,360,8.1,18,16,10,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",06-Nov-09,10:00:00,250,7.5,27,16,15,More than 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",06-Jan-09,15:00:00,310,8,32,19,20,More than 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",06-Jan-09,15:00:00,310,8,32,19,20,More than 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",11-Dec-07,14:38:00,560,9.6,25,17,80,More than 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",18-Oct-07,0:30:00,330,7.6,25,14,150,More than 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",06-May-09,0:00:00,210,7.7,16,13,,Between 1 and 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",07-Oct-09,14:25:00,170,7.5,15,13,30,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",08-Sep-09,0:54:00,180,7.4,15,13.5,40,More than 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",11-Apr-11,13:00:00,410,7.4,16,15.5,11,Between 1 and 7 days ago,Creek,plastic,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",09-May-11,11:40:00,330,8,14,14.5,7,Last 24 hrs,Creek,"paper,plastic",Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",08-Nov-10,15:50:00,1140,8.1,27,19,12,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",09-Jun-10,0:55:00,630,7.7,12,11.5,10,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",06-May-10,14:30:00,170,6.8,13.5,17.5,10,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",10-Mar-10,13:00:00,480,7.2,19,18,50,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",10-Jun-09,14:30:00,,7.9,8,9,30,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",15-Apr-09,15:00:00,960,7.9,17,15,15,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",08-Sep-08,0:25:00,940,8.3,16.5,13,10,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",06-May-08,10:18:00,640,7.6,18,13,15,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",28-Mar-08,11:00:00,160,7.6,19,15,20,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",06-May-09,0:55:00,1480,7.9,15,12,10,Between 1 and 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",09-Feb-09,15:00:00,1850,8.1,21,21,10,Between 1 and 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",08-Jan-10,14:55:00,880,7.8,37,25,10,More than 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",06-Jun-08,10:20:00,1630,7.8,12,10,15,More than 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",04-Mar-11,12:40:00,970,8,17.5,17.5,7,Between 1 and 7 days ago,Creek,plastic,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",06-Jul-11,15:05:00,1410,8.1,10.5,9.5,7,Last 24 hrs,Creek,"bottles,clothing,polystyrene",Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",06-Jun-11,16:02:00,1190,8.1,9.5,10,13.5,Last 24 hrs,Creek,plastic,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",11-Feb-11,15:25:00,740,7.5,19.5,22,40,Last 24 hrs,Creek,"bottles,packets,plastic,other",Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",08-Apr-10,15:45:00,230,7.5,18,20,10,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",05-Feb-10,8:50:00,740,7.1,17,21,10,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",11-Jan-10,11:05:00,1120,7.5,25,22,10,Last 24 hrs,Creek,"plastic,polystyrene",Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",08-Dec-09,14:57:00,420,,15.5,17.5,20,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",07-Oct-08,14:45:00,480,8.1,15,13,15,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",07-Jul-08,10:24:00,850,7.8,11,9,15,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",15-Sep-10,13:10:00,1150,8.6,14.5,12.5,7,Between 1 and 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",08-Jul-10,10:34:00,1150,7.8,11.5,8.5,7,Between 1 and 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",11-Apr-08,0:44:00,1350,8,26,18,30,Between 1 and 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",10-Dec-10,15:15:00,490,7.2,21,21.5,18,More than 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",06-Feb-08,9:00:00,940,7.4,20,21,10,More than 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",02-Aug-07,13:40:00,620,8.5,13,9.5,10,More than 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",07-Oct-09,15:10:00,690,7.4,15,13,10,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",08-Oct-10,13:10:00,600,7.3,17,15.5,10.5,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",06-Aug-10,15:05:00,590,7.6,10,10.5,19,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
ME_YDA422,"Darebin Creek, downstream of Lillimer Drain, Heidelberg West.",07-Jul-09,11:30:00,760,7.8,10.5,9.5,10,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,144.982684276 N,-37.7294303979 E,5822289,322227
